timestamp,perclos,avg_eye_speed,avg_fixation,max_fixation,fixation_fatigue_flag
2025-11-02 12:42:35,9.36,29.34,0.1,1.09,0
2025-11-02 12:42:35,9.33,29.21,0.1,1.09,0
2025-11-02 12:42:35,9.29,29.08,0.1,1.09,0
2025-11-02 12:42:35,9.26,28.94,0.1,1.09,0
2025-11-02 12:42:36,9.23,28.68,0.1,1.09,0
2025-11-02 12:42:36,9.19,28.59,0.1,1.09,0
2025-11-02 12:42:36,9.16,28.36,0.1,1.09,0
2025-11-02 12:42:36,9.12,28.26,0.1,1.09,0
2025-11-02 12:42:36,9.09,27.98,0.1,1.09,0
2025-11-02 12:42:36,9.06,27.9,0.1,1.09,0
2025-11-02 12:42:36,9.03,28.44,0.1,1.09,0
2025-11-02 12:42:36,8.99,28.18,0.09,1.09,0
2025-11-02 12:42:36,8.96,28.05,0.09,1.09,0
2025-11-02 12:42:36,8.93,27.91,0.09,1.09,0
2025-11-02 12:42:36,8.9,28.75,0.09,1.09,0
2025-11-02 12:42:36,8.87,28.94,0.09,1.09,0
2025-11-02 12:42:36,8.83,28.79,0.09,1.09,0
2025-11-02 12:42:36,8.8,29.06,0.09,1.09,0
2025-11-02 12:42:36,8.77,29.17,0.09,1.09,0
2025-11-02 12:42:36,8.74,29.01,0.09,1.09,0
2025-11-02 12:42:36,8.71,28.87,0.09,1.09,0
2025-11-02 12:42:36,8.68,28.74,0.09,1.09,0
2025-11-02 12:42:36,8.65,28.62,0.09,1.09,0
2025-11-02 12:42:36,8.97,28.62,0.09,1.09,0
2025-11-02 12:42:36,8.93,28.81,0.09,1.09,0
2025-11-02 12:42:36,8.9,28.87,0.09,1.09,0
2025-11-02 12:42:36,8.87,28.72,0.09,1.09,0
2025-11-02 12:42:37,8.84,28.57,0.09,1.09,0
2025-11-02 12:42:37,8.81,28.44,0.09,1.09,0
2025-11-02 12:42:37,8.78,28.31,0.09,1.09,0
2025-11-02 12:42:37,8.75,28.17,0.09,1.09,0
2025-11-02 12:42:37,9.06,28.17,0.09,1.09,0
2025-11-02 12:42:37,9.03,28.59,0.09,1.09,0
2025-11-02 12:42:37,9.0,28.46,0.09,1.09,0
2025-11-02 12:42:37,8.97,28.33,0.09,1.09,0
2025-11-02 12:42:37,8.94,28.76,0.09,1.09,0
2025-11-02 12:42:37,9.24,28.76,0.09,1.09,0
2025-11-02 12:42:37,9.54,28.76,0.09,1.09,0
2025-11-02 12:42:37,9.84,28.76,0.09,1.09,0
2025-11-02 12:42:37,10.13,28.76,0.09,1.09,0
2025-11-02 12:42:37,10.42,28.76,0.09,1.09,0
2025-11-02 12:42:37,10.71,28.76,0.09,1.09,0
2025-11-02 12:42:37,10.68,28.97,0.09,1.09,0
2025-11-02 12:42:37,10.65,28.83,0.09,1.09,0
2025-11-02 12:42:37,10.61,29.66,0.09,1.09,0
2025-11-02 12:42:37,10.58,29.86,0.09,1.09,0
2025-11-02 12:42:37,10.54,30.27,0.09,1.09,0
2025-11-02 12:42:38,10.51,30.13,0.09,1.09,0
2025-11-02 12:42:38,10.48,30.0,0.09,1.09,0
2025-11-02 12:42:38,10.44,29.85,0.09,1.09,0
2025-11-02 12:42:38,10.41,29.71,0.09,1.09,0
2025-11-02 12:42:38,10.38,29.59,0.09,1.09,0
2025-11-02 12:42:38,10.34,29.45,0.09,1.09,0
